annee_deces,nom,sexe,date_naissance,precision_naissance,date_deces,precision_deces,age_au_deces,nb_editions_wikipedia,dates_ambigues,article_wikipedia_fr,wikidata_id
2004,Robert Schilling,homme,1913-04-17,jour,2004-10-30,jour,91,4,,https://fr.wikipedia.org/wiki/Robert_Schilling,Q8310257
2004,Georges Thomas,homme,1909-11-06,jour,2004-10-31,jour,94,1,,https://fr.wikipedia.org/wiki/Georges_Thomas_(homme_politique),Q17580182
2004,Yvon Gourbal,homme,1939-08-14,jour,2004-10-31,jour,65,2,,https://fr.wikipedia.org/wiki/Yvon_Gourbal,Q105069399
2004,A. D. G.,homme,1947-12-19,jour,2004-11-01,jour,56,7,,https://fr.wikipedia.org/wiki/A._D._G.,Q2818915
2004,Géraldine Gassler,femme,1968-05-17,jour,2004-11-01,jour,36,2,oui,https://fr.wikipedia.org/wiki/G%C3%A9raldine_Giraud,Q3123683
2004,Jean-Jacques de Bresson,homme,1920-08-13,jour,2004-11-01,jour,84,1,,https://fr.wikipedia.org/wiki/Jean-Jacques_de_Bresson,Q3166459
2004,Denise Barthomeuf,femme,1934-11-26,jour,2004-11-02,jour,69,5,,https://fr.wikipedia.org/wiki/Denise_Barthomeuf,Q120488988
2004,Jean Grangeot,homme,1926-10-04,jour,2004-11-02,jour,78,1,,https://fr.wikipedia.org/wiki/Jean_Grangeot,Q3172375
2004,Marcel Navarro,homme,1923-03-29,jour,2004-11-02,jour,81,2,,https://fr.wikipedia.org/wiki/Marcel_Navarro,Q3289255
2004,Louis Marie Pons,homme,1909-03-13,jour,2004-11-03,jour,95,1,,,Q23705284
2004,Georges Berchet,homme,1926-06-13,jour,2004-11-04,jour,78,2,,https://fr.wikipedia.org/wiki/Georges_Berchet,Q3102273
2004,Jean Lartigaut,homme,1925-10-24,jour,2004-11-04,jour,79,1,,https://fr.wikipedia.org/wiki/Jean_Lartigaut,Q3173016
2004,Gilbert Badia,homme,1916-09-11,jour,2004-11-05,jour,88,1,,https://fr.wikipedia.org/wiki/Gilbert_Badia,Q15629749
2004,Jean Lucchesi,homme,1918-07-24,jour,2004-11-05,jour,86,1,,https://fr.wikipedia.org/wiki/Jean_Lucchesi,Q51003580
2004,Pierre Anfosso,homme,1928-12-01,jour,2004-11-05,jour,75,1,,https://fr.wikipedia.org/wiki/Pierre_Anfosso,Q3383722
2004,Serge Adda,homme,1948-09-19,jour,2004-11-06,jour,56,8,,https://fr.wikipedia.org/wiki/Serge_Adda,Q562996
2004,Alfred Roques,homme,1925-02-17,jour,2004-11-07,jour,79,3,,https://fr.wikipedia.org/wiki/Alfred_Roques,Q2835429
2004,Sébastien Briat,homme,1982-08-17,jour,2004-11-07,jour,22,3,,,Q2379313
2004,Jacques Levron,homme,1906-09-07,jour,2004-11-09,jour,98,1,,https://fr.wikipedia.org/wiki/Jacques_Levron,Q35826601
2004,Jean-Loup Reynold,homme,1935-05-12,jour,2004-11-09,jour,69,1,,https://fr.wikipedia.org/wiki/Jean-Loup_Reynold,Q16262956
2004,Vasyl Mykhalchuk,homme,1922-03-22,jour,2004-11-09,jour,82,1,,,Q136387417
2004,René Boudard,homme,1909-02-18,jour,2004-11-10,jour,95,1,,https://fr.wikipedia.org/wiki/Ren%C3%A9_Boudard,Q3425894
2004,Jacques Cellard,homme,1920-07-18,jour,2004-11-11,jour,84,2,,https://fr.wikipedia.org/wiki/Jacques_Cellard,Q507995
2004,Jacques Dynam,homme,1923-12-30,jour,2004-11-11,jour,80,16,,https://fr.wikipedia.org/wiki/Jacques_Dynam,Q981564
2004,Richard Dembo,homme,1948-05-24,jour,2004-11-11,jour,56,23,,https://fr.wikipedia.org/wiki/Richard_Dembo,Q563542
2004,Alexandru Vona,homme,1922-03-03,jour,2004-11-12,jour,82,5,,,Q2643891
2004,Benjamin Brial,homme,1923-06-09,jour,2004-11-12,jour,81,5,,https://fr.wikipedia.org/wiki/Benjamin_Brial,Q817425
2004,Jacqueline Lévi-Valensi,femme,1932-05-22,jour,2004-11-12,jour,72,4,,https://fr.wikipedia.org/wiki/Jacqueline_L%C3%A9vi-Valensi,Q3157757
2004,Jean Cohen,homme,1941-08,mois,2004-11-12,jour,,5,,https://fr.wikipedia.org/wiki/Jean_Cohen,Q3171365
2004,Jacques Renault,homme,1946-03-24,jour,2004-11-13,jour,58,1,,https://fr.wikipedia.org/wiki/Jacques_Renault,Q51434523
2004,Amadou Issaka,homme,1924,année,2004-11-14,jour,,4,,,Q452301
2004,André Gravier,homme,1911-05-18,jour,2004-11-14,jour,93,1,,https://fr.wikipedia.org/wiki/Andr%C3%A9_Gravier,Q18193289
2004,Gramoun Lélé,homme,1930-02-28,jour,2004-11-14,jour,74,1,,https://fr.wikipedia.org/wiki/Granmoun_L%C3%A9l%C3%A9,Q3115369
2004,Michel Colombier,homme,1939-05-23,jour,2004-11-14,jour,65,18,,https://fr.wikipedia.org/wiki/Michel_Colombier,Q1930698
2004,Pierre Jounel,homme,1914-07-16,jour,2004-11-14,jour,90,1,,https://fr.wikipedia.org/wiki/Pierre_Jounel,Q3385634
2004,Simone Louise des Forest,femme,1910-03-07,jour,2004-11-15,jour,94,3,,https://fr.wikipedia.org/wiki/Simone_Louise_des_Forest,Q3484584
2004,Kamilo Gata,homme,1949-12-12,jour,2004-11-16,jour,54,3,,https://fr.wikipedia.org/wiki/Kamilo_Gata,Q1539165
2004,Maurice Jaclin,homme,1932-09-13,jour,2004-11-16,jour,72,1,,https://fr.wikipedia.org/wiki/Maurice_Jaclin,Q3300935
2004,Yves Berger,homme,1931-01-14,jour,2004-11-16,jour,73,7,,https://fr.wikipedia.org/wiki/Yves_Berger,Q2602192
2004,Jean Potin,homme,1931-07-16,jour,2004-11-17,jour,73,1,,https://fr.wikipedia.org/wiki/Jean_Potin,Q3174087
2004,Blanche Maynadier,femme,1923-05-03,jour,2004-11-18,jour,81,1,,,Q2906001
2004,Henri Bonnard,homme,1915-07-30,jour,2004-11-19,jour,89,2,,https://fr.wikipedia.org/wiki/Henri_Bonnard,Q1605729
2004,Georges Morel,homme,1938-07-11,jour,2004-11-21,jour,66,14,,https://fr.wikipedia.org/wiki/Georges_Morel,Q3103242
2004,Raoul-Louis Mattei,homme,1921-06-12,jour,2004-11-21,jour,83,1,,https://fr.wikipedia.org/wiki/Raoul-Louis_Mattei,Q54313716
2004,René Couveinhes,homme,1925-06-16,jour,2004-11-21,jour,79,1,,https://fr.wikipedia.org/wiki/Ren%C3%A9_Couveinhes,Q3426052
2004,Edmond Nessler,homme,1907-02-24,jour,2004-11-24,jour,97,1,,https://fr.wikipedia.org/wiki/Edmond_Nessler,Q16631490
2004,Pierre Galoni,homme,1915-02-25,jour,2004-11-24,jour,89,1,,https://fr.wikipedia.org/wiki/Pierre_Galoni,Q16802052
2004,Bernard Pariset,homme,1929-12-21,jour,2004-11-26,jour,74,8,,https://fr.wikipedia.org/wiki/Bernard_Pariset,Q2898407
2004,Georges Dezeuze,homme,1905-12-28,jour,2004-11-26,jour,98,2,,https://fr.wikipedia.org/wiki/Georges_Dezeuze,Q12949169
2004,Philippe de Broca,homme,1933-03-15,jour,2004-11-26,jour,71,38,,https://fr.wikipedia.org/wiki/Philippe_de_Broca,Q365141
2004,Robert Abraham,homme,1921-11-23,jour,2004-11-27,jour,83,1,,https://fr.wikipedia.org/wiki/Robert_Abraham_(militaire),Q3434397
2004,Roger Louet,homme,1926-03-11,jour,2004-11-27,jour,78,1,,https://fr.wikipedia.org/wiki/Roger_Louet,Q3439220
2004,Yves Belluardo,homme,1937-12-04,jour,2004-11-27,jour,66,1,,https://fr.wikipedia.org/wiki/Yves_Belluardo,Q3573476
2004,Alexei Khvostenko,homme,1940-11-14,jour,2004-11-30,jour,64,8,,,Q4496955
2004,Christophe Tarkos,homme,1963-09-15,jour,2004-11-30,jour,41,5,,https://fr.wikipedia.org/wiki/Christophe_Tarkos,Q2358494
2004,Raymond Chevallier,homme,1929-06-21,jour,2004-11-30,jour,75,3,,https://fr.wikipedia.org/wiki/Raymond_Chevallier,Q3420755
2004,Marie-Odette Dubois-Violette,femme,1918-06-27,jour,2004-12-01,jour,86,2,,https://fr.wikipedia.org/wiki/Marie-Odette_Dubois-Violette,Q55135170
2004,Paul-Marie de La Gorce,homme,1928-11-10,jour,2004-12-01,jour,76,1,,https://fr.wikipedia.org/wiki/Paul-Marie_de_La_Gorce,Q3370358
2004,Michel Schiff,homme,1933-05-04,jour,2004-12-03,jour,71,1,,https://fr.wikipedia.org/wiki/Michel_Schiff,Q3310837
2004,Robert Dhéry,homme,1921-04-27,jour,2004-12-03,jour,83,18,,https://fr.wikipedia.org/wiki/Robert_Dh%C3%A9ry,Q321212
2004,Robert Gay,homme,1912-01-30,jour,2004-12-03,jour,92,1,,https://fr.wikipedia.org/wiki/Robert_Gay_(physicien),Q111211423
2004,Hubert Zénier,homme,1936-05-30,jour,2004-12-04,jour,68,1,,https://fr.wikipedia.org/wiki/Hubert_Z%C3%A9nier,Q140435457
2004,Jacques Riousse,homme,1911-03-17,jour,2004-12-04,jour,93,2,,,Q21039496
2004,Bernadette Barrière,femme,1936-11-02,jour,2004-12-05,jour,68,1,,https://fr.wikipedia.org/wiki/Bernadette_Barri%C3%A8re,Q2897343
2004,Jean Tournier,homme,1926-04-03,jour,2004-12-05,jour,78,5,oui,https://fr.wikipedia.org/wiki/Jean_Tournier,Q1685861
2004,Alain Riou,homme,1953-07-28,jour,2004-12-06,jour,51,3,,https://fr.wikipedia.org/wiki/Alain_Riou_(homme_politique),Q1410230
2004,Mohya,homme,1950-11-01,jour,2004-12-07,jour,54,5,,https://fr.wikipedia.org/wiki/Abdallah_Mohia,Q3319161
2004,Zuzana Navarová,femme,1959-06-18,jour,2004-12-07,jour,45,13,,https://fr.wikipedia.org/wiki/Zuzana_Navarov%C3%A1,Q231225
2004,Henri Birnbaum,homme,1921-12-06,jour,2004-12-08,jour,83,1,,,Q5894397
2004,Nicolas Roland Payen,homme,1914-02-02,jour,2004-12-08,jour,90,4,,https://fr.wikipedia.org/wiki/Nicolas_Roland_Payen,Q1986366
2004,Marcel Suarès,homme,1914-08-06,jour,2004-12-09,jour,90,1,,https://fr.wikipedia.org/wiki/Marcel_Suar%C3%A8s,Q47843472
2004,Michèle de La Pradelle,femme,1944-08-23,jour,2004-12-09,jour,60,1,,https://fr.wikipedia.org/wiki/Mich%C3%A8le_de_La_Pradelle,Q15970722
