year,sexe,age,esperance
1999,femmes,11,72.2
2000,femmes,11,72.4
2001,femmes,11,72.4
2002,femmes,11,72.4
2003,femmes,11,72.2
2004,femmes,11,73.2
2005,femmes,11,73.2
2006,femmes,11,73.8
2007,femmes,11,74.2
2008,femmes,11,74.2
2009,femmes,11,74.4
2010,femmes,11,74.6
2011,femmes,11,75.1
2012,femmes,11,74.7
2013,femmes,11,75.0
2014,femmes,11,74.8
2015,femmes,11,74.5
2016,femmes,11,74.7
2017,femmes,11,74.7
2018,femmes,11,74.9
2019,femmes,11,75.0
2020,femmes,11,74.5
2021,femmes,11,74.6
2022,femmes,11,74.5
2023,femmes,11,75.1
2024,femmes,11,75.2
1998,femmes,12,71.1
1999,femmes,12,71.2
2000,femmes,12,71.4
2001,femmes,12,71.5
2002,femmes,12,71.4
2003,femmes,12,71.2
2004,femmes,12,72.2
2005,femmes,12,72.2
2006,femmes,12,72.9
2007,femmes,12,73.2
2008,femmes,12,73.2
2009,femmes,12,73.4
2010,femmes,12,73.6
2011,femmes,12,74.1
2012,femmes,12,73.7
2013,femmes,12,74.0
2014,femmes,12,73.8
2015,femmes,12,73.5
2016,femmes,12,73.7
2017,femmes,12,73.7
2018,femmes,12,73.9
2019,femmes,12,74.0
2020,femmes,12,73.5
2021,femmes,12,73.6
2022,femmes,12,73.5
2023,femmes,12,74.1
2024,femmes,12,74.2
1998,femmes,13,70.1
1999,femmes,13,70.2
2000,femmes,13,70.4
2001,femmes,13,70.5
2002,femmes,13,70.4
2003,femmes,13,70.2
2004,femmes,13,71.3
2005,femmes,13,71.2
2006,femmes,13,71.9
2007,femmes,13,72.2
2008,femmes,13,72.2
2009,femmes,13,72.4
2010,femmes,13,72.7
2011,femmes,13,73.1
2012,femmes,13,72.7
2013,femmes,13,73.0
2014,femmes,13,72.8
2015,femmes,13,72.5
2016,femmes,13,72.7
2017,femmes,13,72.7
2018,femmes,13,72.9
2019,femmes,13,73.0
2020,femmes,13,72.5
2021,femmes,13,72.6
2022,femmes,13,72.5
2023,femmes,13,73.1
2024,femmes,13,73.2
1998,femmes,14,69.1
1999,femmes,14,69.2
2000,femmes,14,69.4
2001,femmes,14,69.5
2002,femmes,14,69.4
2003,femmes,14,69.2
2004,femmes,14,70.3
2005,femmes,14,70.2
2006,femmes,14,70.9
2007,femmes,14,71.2
2008,femmes,14,71.2
2009,femmes,14,71.4
2010,femmes,14,71.7
2011,femmes,14,72.1
2012,femmes,14,71.8
2013,femmes,14,72.0
2014,femmes,14,71.8
2015,femmes,14,71.5
2016,femmes,14,71.7
2017,femmes,14,71.8
2018,femmes,14,71.9
2019,femmes,14,72.0
2020,femmes,14,71.5
2021,femmes,14,71.6
2022,femmes,14,71.5
2023,femmes,14,72.1
2024,femmes,14,72.2
1998,femmes,15,68.1
1999,femmes,15,68.2
2000,femmes,15,68.5
2001,femmes,15,68.5
2002,femmes,15,68.4
2003,femmes,15,68.2
2004,femmes,15,69.3
2005,femmes,15,69.2
2006,femmes,15,69.9
2007,femmes,15,70.2
2008,femmes,15,70.2
2009,femmes,15,70.4
2010,femmes,15,70.7
2011,femmes,15,71.1
2012,femmes,15,70.8
2013,femmes,15,71.0
2014,femmes,15,70.8
2015,femmes,15,70.5
2016,femmes,15,70.7
2017,femmes,15,70.8
2018,femmes,15,70.9
2019,femmes,15,71.0
2020,femmes,15,70.5
2021,femmes,15,70.6
2022,femmes,15,70.5
2023,femmes,15,71.1
2024,femmes,15,71.2
1998,femmes,16,67.1
1999,femmes,16,67.2
2000,femmes,16,67.5
2001,femmes,16,67.5
2002,femmes,16,67.5
2003,femmes,16,67.2
2004,femmes,16,68.3
2005,femmes,16,68.2
2006,femmes,16,68.9
2007,femmes,16,69.2
2008,femmes,16,69.2
2009,femmes,16,69.4
2010,femmes,16,69.7
2011,femmes,16,70.1
2012,femmes,16,69.8
2013,femmes,16,70.0
2014,femmes,16,69.8
2015,femmes,16,69.5
